timestamp,preference,outbound,return,trip_days,airline,duration,stops,price_aud,source,jetstar_link,alert
2026-06-18T23:29:39Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,730.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-18T23:29:39Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia,18h 15m,1,661.00,google,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-19T22:47:34Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,10h 5m,0,744.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-19T22:47:34Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines + Jetstar Airways,20h 25m,1,781.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-20T23:00:21Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,730.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-20T23:00:21Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines,13h 55m,1,681.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-21T23:04:08Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,10h 5m,0,744.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-21T23:04:08Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines + Jetstar Airways,20h 25m,1,781.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-22T23:17:03Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,10h 5m,0,744.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-22T23:17:03Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines + Jetstar Airways,20h 25m,1,781.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-23T23:02:01Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,10h 5m,0,742.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-23T23:02:01Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines + Jetstar Airways,20h 25m,1,783.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-24T23:00:03Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,10h 5m,0,742.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-24T23:00:03Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines + Jetstar Airways,20h 25m,1,783.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-25T23:10:36Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,10h 5m,0,739.00,"kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-25T23:10:36Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines + Jetstar Airways,20h 25m,1,783.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-26T23:00:02Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,600.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-26T23:00:02Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia,12h 55m,1,669.00,google,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-27T22:57:06Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,600.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-27T22:57:06Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia,18h 15m,1,694.00,google,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-28T22:56:50Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,600.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-28T22:56:50Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines,13h 55m,1,714.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-29T22:49:35Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,600.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-29T22:49:35Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines,13h 55m,1,714.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-30T23:04:11Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,600.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-06-30T23:04:11Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines,13h 55m,1,714.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-01T23:05:58Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,10h 5m,0,629.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-01T23:05:58Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines,13h 55m,1,714.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
